system,li,ui,p95,count
bookstore_nodejs, 234.0, 236.0 , 234.5 , 1854
bookstore_nodejs, 102.0, 106.0 , 103 , 1852
bookstore_nodejs, 106.0, 110.0 , 108 , 1900
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 49.0, 50.0 , 49 , 426
bookstore_nodejs, 12161.0, 12252.0 , 12176 , 424
bookstore_nodejs, 31.0, 33.0 , 31 , 425
bookstore_nodejs, 858.0, 860.0 , 858 , 1747
bookstore_nodejs, 32.0, 32.0 , 32 , 1750
bookstore_nodejs, 38.0, 38.0 , 38 , 1798
bookstore_nodejs, 5345.0, 5397.0 , 5345.5 , 881
bookstore_nodejs, 31.0, 31.0 , 31 , 894
bookstore_nodejs, 37.0, 39.0 , 38 , 901
bookstore_nodejs, 503.0, 521.0 , 508.5 , 1663
bookstore_nodejs, 500.0, 513.0 , 501 , 1700
bookstore_nodejs, 596.0, 600.0 , 597 , 1640
bookstore_nodejs, 2682.0, 2690.0 , 2684.5 , 1472
bookstore_nodejs, 32.0, 32.0 , 32 , 1476
bookstore_nodejs, 43.0, 43.0 , 43 , 1516
bookstore_nodejs, 163.0, 165.0 , 163.5 , 1732
bookstore_nodejs, 490.0, 500.0 , 493 , 1734
bookstore_nodejs, 519.0, 525.0 , 520 , 1762
bookstore_nodejs, 7849.0, 7878.0 , 7854 , 649
bookstore_nodejs, 35.0, 35.0 , 35 , 657
bookstore_nodejs, 43.0, 44.0 , 43.5 , 658
bookstore_nodejs, 9214.0, 9240.0 , 9223 , 652
bookstore_nodejs, 39.0, 43.0 , 40 , 663
bookstore_nodejs, 52.0, 53.0 , 52.5 , 675
bookstore_nodejs, 6388.0, 6394.0 , 6388.5 , 767
bookstore_nodejs, 32.0, 33.0 , 32.5 , 769
bookstore_nodejs, 47.0, 48.0 , 47 , 777
bookstore_nodejs, 3135.0, 3141.0 , 3136.5 , 1074
bookstore_nodejs, 28.0, 28.0 , 28 , 1075
bookstore_nodejs, 38.0, 39.0 , 38.5 , 1103
bookstore_nodejs, 6202.0, 6223.0 , 6204 , 861
bookstore_nodejs, 26.0, 27.0 , 27 , 879
bookstore_nodejs, 37.0, 38.0 , 37 , 890
bookstore_nodejs, 9886.0, 9903.0 , 9894.5 , 575
bookstore_nodejs, 64.0, 65.0 , 64.5 , 576
bookstore_nodejs, 61.0, 70.0 , 64.5 , 593
bookstore_nodejs, 1472.0, 1473.0 , 1473 , 1558
bookstore_nodejs, 32.0, 32.0 , 32 , 1568
bookstore_nodejs, 39.0, 39.0 , 39 , 1615
